id,name,alpha,density,color
0,air,0.0,1.225,#ffffff
1,smooth_concrete,0.02,2400.0,#a0a0a0
2,rough_concrete,0.03,2300.0,#7a7a7a
3,brickwork_unglazed,0.03,1900.0,#b24d3d
4,marble_or_glazed_tile,0.01,2700.0,#e0f7fa
5,wood_50mm_thick,0.05,600.0,#5d4037
6,plywood_panelling,0.13,550.0,#d7a26c
7,heavy_carpet_on_concrete,0.25,200.0,#2e7d32
8,heavy_curtains_draped,0.66,1.5,#6a1b9a
9,plaster_surface,0.02,1200.0,#fff9c4
10,solid_wooden_door,0.07,700.0,#8d6e63
11,water_surface_pool,0.01,1000.0,#0288d1
12,upholstered_seating,0.76,150.0,#c62828
13,audience_on_timber_seats,0.62,500.0,#ff8f00
14,glass_window,0.1,2500.0,#b3e5fc
15,metal,0.02,7800.0,#b0bec5
16,acoustic_foam,0.85,40.0,#37474f